标题,标题链接,bd,数量,编号,inq
肖申克的救赎,https://movie.douban.com/subject/1292052/,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994 / 美国 / 犯罪 剧情
                        ",9.7,2940974人评价,希望让人自由。
霸王别姬,https://movie.douban.com/subject/1291546/,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        ",9.6,2172648人评价,风华绝代。
阿甘正传,https://movie.douban.com/subject/1292720/,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...
                            1994 / 美国 / 剧情 爱情
                        ",9.5,2192218人评价,一部美国近现代史。
泰坦尼克号,https://movie.douban.com/subject/1292722/,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997 / 美国 墨西哥 / 剧情 爱情 灾难
                        ",9.5,2225770人评价,失去的才是永恒的。 
这个杀手不太冷,https://movie.douban.com/subject/1295644/,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        ",9.4,2324407人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻,https://movie.douban.com/subject/1291561/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
                            2001 / 日本 / 剧情 动画 奇幻
                        ",9.4,2275845人评价,最好的宫崎骏，最好的久石让。 
美丽人生,https://movie.douban.com/subject/1292063/,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",9.5,1344658人评价,最美的谎言。
星际穿越,https://movie.douban.com/subject/1889243/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        ",9.4,1880904人评价,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,https://movie.douban.com/subject/3541415/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",9.4,2096348人评价,诺兰给了我们一场无法盗取的梦。
辛德勒的名单,https://movie.douban.com/subject/1295124/,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993 / 美国 / 剧情 历史 战争
                        ",9.5,1135361人评价,拯救一个人，就是拯救整个世界。
楚门的世界,https://movie.douban.com/subject/1292064/,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998 / 美国 / 剧情 科幻
                        ",9.4,1744178人评价,如果再也不能见到你，祝你早安，午安，晚安。
