log_time,log_level,log_module,response_time,province,city,log_text
2023-11-10 16:02:50.528155,INFO,base_network.py,751,山东省,济南市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,orders_service.py,543,北京市,海淀区,这里是日志信息......
2023-11-10 16:02:50.528155,WARN,goods_manager.py,845,北京市,昌平区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,event.py,464,湖南省,长沙市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,event.py,411,重庆市,沙坪坝区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,857,湖北省,武汉市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,201,江苏省,南京市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,event.py,862,天津市,河西区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,orders_service.py,250,广东省,深圳市,这里是日志信息......
2023-11-10 16:02:50.528155,WARN,shop_manager.py,183,北京市,怀柔区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,870,广东省,深圳市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,orders_service.py,326,湖北省,武汉市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,user_manager.py,136,广东省,广州市,这里是日志信息......
2023-11-10 16:02:50.528155,WARN,barcode_service.py,991,山东省,青岛市,这里是日志信息......
2023-11-10 16:02:50.528155,WARN,goods_manager.py,593,天津市,武清区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,570,北京市,大兴区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,223,江苏省,张家港市,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,102,北京市,昌平区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,22,重庆市,渝中区,这里是日志信息......
2023-11-10 16:02:50.528155,INFO,goods_manager.py,87,重庆市,南岸区,这里是日志信息......
2023-11-10 16:02:50.529165,WARN,base_network.py,222,天津市,河东区,这里是日志信息......
2023-11-10 16:02:50.529165,ERROR,event.py,285,安徽省,芜湖市,这里是日志信息......
2023-11-10 16:02:50.529165,ERROR,user_manager.py,481,安徽省,合肥市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,898,山东省,济南市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,103,山东省,菏泽市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,base_network.py,137,重庆市,万州区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,863,上海市,普陀区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,691,江苏省,无锡市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,user_manager.py,398,山东省,青岛市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,83,北京市,朝阳区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,397,湖北省,十堰市,这里是日志信息......
2023-11-10 16:02:50.529165,WARN,event.py,1000,上海市,杨浦区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,963,山东省,济南市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,base_network.py,37,安徽省,合肥市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,135,天津市,河东区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,150,重庆市,渝中区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,641,湖南省,益阳市,这里是日志信息......
2023-11-10 16:02:50.529165,WARN,event.py,210,天津市,宝坻区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,609,山东省,青岛市,这里是日志信息......
2023-11-10 16:02:50.529165,WARN,orders_service.py,675,浙江省,丽水市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,user_manager.py,547,广东省,广州市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,533,天津市,和平区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,497,重庆市,沙坪坝区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,634,北京市,海淀区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,790,湖南省,张家界市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,303,上海市,宝山区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,423,北京市,大兴区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,131,江苏省,南京市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,user_manager.py,362,上海市,杨浦区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,104,江苏省,苏州市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,936,重庆市,万州区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,969,天津市,宝坻区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,160,上海市,黄浦区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,barcode_service.py,369,江苏省,南京市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,user_manager.py,252,重庆市,沙坪坝区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,135,安徽省,阜阳市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,944,安徽省,六安市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,496,重庆市,涪陵区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,goods_manager.py,415,湖北省,武汉市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,21,广东省,珠海市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,base_network.py,591,湖南省,长沙市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,571,安徽省,六安市,这里是日志信息......
2023-11-10 16:02:50.529165,WARN,event.py,162,上海市,普陀区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,642,上海市,宝山区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,605,湖北省,武汉市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,399,山东省,青岛市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,191,北京市,昌平区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,692,北京市,朝阳区,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,event.py,966,江苏省,苏州市,这里是日志信息......
2023-11-10 16:02:50.529165,INFO,orders_service.py,269,江苏省,苏州市,这里是日志信息......
